# PROXY LIST: SOCKS5 - Generated: 2025-02-27 12:54:33
# Total found: 1953 | Working: 217 | Success rate: 11.1%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (6)
35.76.62.196:80 | Japan | Unknown | 317ms
52.16.232.164:3128 | Ireland | Unknown | 144ms
18.169.83.87:3128 | United Kingdom | Unknown | 164ms
46.51.249.135:3128 | Japan | Unknown | 315ms
3.37.125.76:3128 | South Korea | Unknown | 365ms
85.215.64.49:80 | Germany | Unknown | 542ms
84.39.112.144:3128 | Switzerland | Unknown | 9999ms
209.14.115.101:999 | Colombia | Unknown | 9999ms
39.102.210.12:443 | China | Unknown | 9999ms
43.129.201.43:443 | Hong Kong | Unknown | 931ms
99.80.11.54:3128 | Ireland | Unknown | 1194ms
103.48.71.162:83 | India | Unknown | 9999ms
171.237.118.180:1022 | Vietnam | Unknown | 9999ms
23.88.116.40:80 | Germany | Unknown | 1140ms
77.232.128.191:80 | Russia | Unknown | 9999ms
176.36.190.253:8080 | Ukraine | Unknown | 9999ms
80.249.112.163:80 | China | Unknown | 9999ms
173.208.246.194:40000 | United States | Unknown | 9999ms
78.28.152.113:80 | Bosnia and Herzegovina | Unknown | 9999ms
200.201.134.188:8787 | Brazil | Unknown | 9999ms
54.228.164.102:3128 | Ireland | Unknown | 145ms
13.36.104.85:80 | France | Unknown | 174ms
35.72.118.126:80 | Japan | Unknown | 308ms
43.201.121.81:80 | South Korea | Unknown | 359ms
52.63.129.110:3128 | Australia | Unknown | 402ms
31.40.248.2:8080 | Russia | Unknown | 9999ms
3.124.133.93:3128 | Germany | Unknown | 190ms
13.234.24.116:80 | India | Unknown | 423ms
148.66.6.211:80 | Unknown | Unknown | 9999ms
203.115.101.53:82 | India | Unknown | 9999ms
13.38.176.104:3128 | France | Unknown | 175ms
3.212.148.199:3128 | United States | Unknown | 26ms
18.169.83.87:1080 | United Kingdom | Unknown | 167ms
65.1.244.232:3128 | India | Unknown | 420ms
87.248.129.26:80 | United Arab Emirates | Unknown | 6644ms
112.105.10.58:80 | Taiwan | Unknown | 785ms
43.156.59.228:80 | Singapore | Unknown | 932ms
35.154.78.253:3128 | India | Unknown | 1655ms
87.248.129.32:80 | United Arab Emirates | Unknown | 9999ms
41.59.90.171:80 | Tanzania | Unknown | 9999ms

# ---------------------------------------------------------
# Export path: results/socks5/20250227/20250227_125433/
# ProxyScraper | https://github.com/delldevmann/proxy-scraper
